分类,公司,产品,进展,描述,时间
导弹防御系统,"洛克希德·马丁公司
Lockheed Martin Corp
",爱国者PAC-3导弹防御增强（MSE）系统,系统于2016年实现了初始作战能力。洛克希德·马丁公司还根据“减少PAC-3成本倡议”（CRI）改进了PAC-3拦截器，旨在提高 现役PAC-3导弹的可靠性和战备性。,PAC-3 MSE提供了MIM-104爱国者武器系统的最新增强功能。该系统利用先进的多任务拦截器扩展了爱国者武器系统对先进战术弹道导弹，巡航导弹和飞机的防御能力,2020年5月1日
导弹,"洛克希德·马丁公司
Lockheed Martin Corp
",陆军的精确打击导弹（PRSM）,该计划的技术成熟度和降低风险阶段的一部分，是在第三次也是最后一次飞行演示中实现了所有目标。,PrSM的设计最小范围为60 km，最大范围为“超出499” km。随着PrSM于2023年部署，它将能够达到550公里。由于该导弹采用开放式架构和模块化 设计，因此有望在未来进行改进，将射程扩大至750公里。,2020年4月30日
导弹,"洛克希德·马丁公司
Lockheed Martin Corp
",美国陆军的300英里精确打击导弹（PRSM）,到2025年，美国陆军将使用其新兴的陆上发射的精确打击导弹（PrSM）克里斯·奥斯本（Kris Osborn）来摧毁约310英里范围内的移动敌舰。,,2020年9月29日
导弹,"洛克希德·马丁公司
Lockheed Martin Corp
",新一代扩展范围引导多发火箭系统（ER GMLRS）弹药,新型扩展范围GMLRS大大扩展了当前系统的射程，提供了更长距离的弹药选择，并以客户期望的相同的可靠性和准确性改进了选件（射程达到150公里）,,2021年3月4日
导弹发射器,"洛克希德·马丁公司
Lockheed Martin Corp
",高机动火炮火箭系统（HIMARS）发射器,HIMARS是一款轻型移动发射器，可通过C-130和大型飞机进行运输以进行快速部署，可发射 制导多管火箭系统 （GMLRS）火箭， 陆军战术导弹系统 （ATACMS）导弹，下一代精确打击导弹（PrSM）和扩展范围的GMLRS火箭,,2020年8月31日
导弹,"洛克希德·马丁公司
Lockheed Martin Corp
",制导多重发射火箭系统（GMLRS）火箭,GMLRS是专为快速部署而设计的全天候火箭，可提供大多数常规武器无法企及的精确打击。该弹药是经过战斗验证的洛克希德·马丁公司生产的HIMARS和MLRS系列发射器的第一轮弹药，并具有全球定位系统（GPS）辅助惯性制导套件和火箭机头上的小型机动鸭嘴，这增加了机动性，从而提高了精确度,,2021年3月29日
雷达,"洛克希德·马丁公司
Lockheed Martin Corp
",美国陆军的Sentinel A4雷达计划,"美国陆军于2019年9月授予洛克希德·马丁公司2.81亿美元的合同，用于开发Sentinel A4系统。新的防空和导弹防御雷达将提高对巡航导弹，无人机系统，旋翼和固定翼以及火箭，火炮的打击能力以及迫击炮的威胁。

",雷达还将提供增强的监视，检测和分类能力，以应对当前和新出现的空中威胁，以保护美国陆军的机动编队和高价值的静态资产，其中包括：指挥和控制节点，战术装配区和地缘政治中心,2020年4月30日
导弹,"洛克希德·马丁公司
Lockheed Martin Corp
",远程反舰导弹（LRASM）,LRASM成功完成了B-1B集成和飞行测试，并带领美国空军在2018年12月宣布了早期作战能力（EOC）。该计划现在开始进行F / A-18E / F飞行测试，从而实现了EOC在2019年的里程碑。,是基于成功的JASSM-ER传统的远程精确制导反舰导弹，旨在满足美国海军和空军战士的需求。LRASM配备了穿透器和爆炸碎片战斗部，可在任何天气条件下白天或晚上使用精确的路线和制导。该导弹采用了一种多模式传感器套件，武器数据链路和增强的数字抗干扰全球定位系统，可以检测和摧毁海上众多舰船群中的特定目标。,2018年12月1日
导弹,"洛克希德·马丁公司
Lockheed Martin Corp
",多重发射火箭系统（MLRS）（M270）,"可以从M270系统发射的MLRS?? MFOM包括12枚制导MLRS（GMLRS）或增程（ER）GMLRS火箭，4枚精确打击导弹（PrSM）或两个陆军战术导弹系统（ATACMS）。
升级：新引擎；新型改良装甲车（IAC）；新的通用消防系统（CFCS）；升级和重建的变速箱；改进的系统组件",是一种高度机动的自动系统，可发射M270系列发射器武器平台中的地对地火箭。三人机组人员可以在不到一分钟的时间内发射MLRS弹药家族（MLRS MFOM），这在“沙漠风暴”行动中得到了非常成功的演示,
导弹,"洛克希德·马丁公司
Lockheed Martin Corp
",双模激光制导炸弹（DMLGB）,"通过结合INS / GPS系统，现有的半主动激光（SAL）搜寻器和抗干扰技术，DMLGB通过在扩展的对峙范围内的全天候条件下提供精确的打击能力，最大程度地减少了附带损害，并提高了任务效率。DMLGB对固定的，可重定位的和移动的目标有效。

DMLGB指导套件与MK 82战斗部和标准GBU-12机翼编组（AFG）兼容。超过7,000 DMLGB已交付给美国海军/海军陆战队，并用于F / A-18大黄蜂，超级大黄蜂和AV-8B rier。",洛克希德·马丁公司的双模激光制导炸弹（DMLGB）已在美国海军服役。DMLGB保留了现有的洛克希德·马丁激光制导炸弹（LGB）基础设施，同时通过惯性导航系统/全球定位系统（INS / GPS）升级了现有的计算机控制组（CCG），从而形成了一种双模制的制导系统,
导弹系统,"洛克希德·马丁公司
Lockheed Martin Corp
",陆军战术导弹系统（ATACMS）,"陆军战术导弹系统（ATACMS）是一种常规的地对地炮兵武器系统，能够打击远远超出现有陆军加农炮，火箭和其他导弹的射程的目标。ATACMS导弹从MLRS M270和M270A1武器平台发射。ATACMS Block I导弹在“沙漠风暴”行动中非常成功。
ATACMS Block IA
带有全球定位系统的改进指南包
携带WDU18、500磅级爆炸碎片战斗部
最大射程为300公里",ATACMS是一种远程制导导弹，可为作战指挥官提供即时火力，以赢得这场深入的战斗。每枚ATACMS导弹都封装在外观类似MLRS的发射舱中，并从MLRS发射器系列发射。,
导弹,"洛克希德·马丁公司
Lockheed Martin Corp
",百利宫（Paragon）直接攻击弹药,"Paragon直接攻击弹药通过最大程度地减少对现有物流基础设施和装卸的影响，提供了更大的任务灵活性，与500磅，1,000磅和2,000磅弹头完全兼容，并提供了增强的发射可接受区域，从而扩大了对峙范围和跨界范围能力。
Paragon直接攻击弹药是美国和盟军战士的理想资产。集成在F / A-18上的Paragon还与F-35，F-16，F-15E，A-10C，AV-8B和其他国内外平台兼容。期望洛克希德·马丁公司的典范飞机具有出色的性能和适用于直接攻击任务的能力。",这种双模武器系统将我们成熟的激光制导套件与最新的惯性导航系统（INS）/ GPS技术结合在一起，可对高优先级的固定，可重定位和移动目标进行精确打击。通过保持现有的激光制导炸弹的质量特性，外模线以及与现有机翼组的兼容性，Paragon可以轻松地与已经采用JDAM系列武器的现有平台集成，从而避免了复杂而昂贵的飞机运营飞行计划变更。,
导弹,"洛克希德·马丁公司
Lockheed Martin Corp
",JASSM：远程打击巡航导弹,JASSM集成在美国空军的B-1B，B-2，B-52，F-16和F-15E上。JASSM-ER已集成在B-1B，F-15E上，目前正在完成B-52H和F-16C / D的内部机舱和机翼的集成。在国际上，JASSM搭载在F / A-18A / B和F-18C / D飞机上。未来的整合工作将集中在洛克希德·马丁公司的F-35 Lightning II战斗机的美国和国际版本以及其他国际平台上。,"是用于美国和盟军的远程常规空对地精密对峙导弹。JASSM旨在摧毁高价值，防御良好，固定和可重定位的目标，其显着的对峙范围使机组人员免受敌对防空系统的威胁。
一种重达2,000磅的武器，带有穿透器/爆炸碎片弹头，在恶劣的天气（白天或夜晚）中均采用了精确的制导和制导，除了使用抗干扰GPS之外，还使用了最先进的红外导引头来寻找目标。",
