内容,发布日期,发布人,url,转发数
经查，该微博称“广州三元里附近的瑶台村，封闭14天”不实，@广州公安 已通报：4月6日，越秀警方依法查处在微信群发布“广州瑶台封村”“建方舱医院”等不实信息的网民宋某，详情：https://weibo.com/1722022490/ICd8Khfgj，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,4月6日,1772154095_894 ,https://weibo.com/1772154095/IC6MOnucU?type=comment#_rnd1603800912656,190
经查，该微博称“张文宏公示财产”不实，据张文宏本人回应，近期有关其个人家庭财产、生活隐私等讨论愈演愈烈，且纯属谣言，详情：https://new.qq.com/omn/20200406/20200406A0MTB400.html，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,4月5日,某科学的超发展观 ,https://weibo.com/1286054842/IBTM0AduR?type=comment#_rnd1603847001072,71
经查，该微博称“加拿大说阿里巴巴捐给他们的口罩不符合标准，还有波兰都是如此”不实，@新浪科技：当地时间3月31日，加拿大总理特鲁多@特鲁多_JustinTrudeau 出席例行记者会，期间他特别对中国企业捐赠表示感谢，详情：https://weibo.com/1642634100/IBhyeeTsK，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,4月2日,西平郡司马,https://weibo.com/1863031164/IBpotwXnm?type=comment,312
经查，此微博称“广西昨天一天从陆地口岸入境10万+，说是好多华人改道从越南和缅甸入境”不实。据@环球时报 报道，网传消息是谣言，无论陆路、水路还是航空，边境管控措施都是一样严格。详情：https://weibo.com/6525943125/IB0r7iyT8， 被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,3月28日,谁是谁非任评说 ,https://weibo.com/1237389341/IAHFQw1e6?type=comment,75
经查，该微博称“加拿大竟然说阿里巴巴捐给他们的口罩不符合标准”不实，@新浪科技 ：当地时间3月31日，加拿大总理特鲁多@特鲁多_JustinTrudeau 出席例行记者会，期间他特别对中国企业捐赠表示感谢，详情：https://weibo.com/1642634100/IBhyeeTsK，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,3月30日,罗爷说法-law ,https://weibo.com/3180426430/IB2sYljXF?type=comment#_rnd1603881920177,84
经查，该微博发视频称“加拿加总理特鲁多的夫人发了一段自拍视频”不实，@海客新闻 报道：3月16日，英国伦敦一名39岁女子感染新冠肺炎后在重症监护室拍下视频发给同事，警告人们重视疫情，别再心存侥幸，以健康犯险，详情：https://weibo.com/7360594450/Izskv5HQG，被举报人言论属于构成“发布不实信息”，且情节恶劣。现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月31日,厦门晓薇 ,https://weibo.com/6124545540/IB6UOxSkY?type=comment,185
经查，此微博视频称“美国疫情已经开始爆发，黑人区也开始打砸抢了”不实。据@捉谣记 查证：这则消息发布于2011年9月，报道中这张照片与网传视频几乎一致。详情：https://weibo.com/6590980486/IzOohscr9 被举报人言论构成“发布不实信息”，且情节恶劣。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,3月22日,西子丹聊斋 ,https://weibo.com/3675736060/IzOpZxQck?type=comment,304
经查，此微博配图称“俄罗斯在全国投放800只狮子老虎确保人们疫情期间待在家”不实。据@捉谣记 查证：俄罗斯并未做出投放800只老虎狮子的举措，消息所配图片是2016年南非约翰内斯堡的一家电影公司拍电影时的画面。详情：https://weibo.com/6590980486/IzVnCej47 被举报人言论构成“发布不实信息”，且情节恶劣。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,3月22日,玩车TV ,https://weibo.com/5986066272/IzQ3z5dbl?type=comment#_rnd1603974728476,146
经查，此微博配图称“俄罗斯在全国投放800只狮子老虎确保人们疫情期间待在家”不实。据@捉谣记 查证：俄罗斯并未做出投放800只老虎狮子的举措，消息所配图片是2016年南非约翰内斯堡的一家电影公司拍电影时的画面。详情：https://weibo.com/6590980486/IzVnCej47 被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效,3月23日,小逗比神吐槽,https://weibo.com/2476481021/IzUQPceLo?type=comment#_rnd1603975033251,113
经查，该微博发视频称“回国女子拒绝安检怒斥民警”一事，实际报道于2018年01月，详情：http://news.sina.com.cn/o/2018-01-18/doc-ifyquixe3844617.shtml，被举报人言论属于“过期信息”，构成“发布不实信息”，且情节恶劣，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,3月21日,北京的晖子,https://weibo.com/2196096201/IzDheq4Cc?type=comment,71
