微博虚假新闻链接,02日期,微博名,内容
https://weibo.com/6470919752/JrVNX32fT?type=comment,2020.11.01,伊丽莎白骨精啊 ,#金钟仁柳智敏双人舞# 柳智敏出道后的首次舞台就合作了kai金钟仁，金钟仁柳智敏搭档完成双人舞。这个新晋女团柳智敏的业务水平如何？
https://weibo.com/7288924808/Jr6HxpIT8?type=comment,2020.10.27,蒸汽凤梨 ,"#撒贝宁老师翻车现场#
好家伙差点直接让我把早饭给笑出来，另外撒贝宁老师这嘴也是神了[ok]L蒸汽凤梨的微博视频 "
https://weibo.com/6358319495/Jr7vOCLmg?type=comment,2020.10.27,瓜组兔区鹅,#撒贝宁翻车现场#🆘我快笑吐了哈哈哈哈哈哈哈哈哈哈#娱乐影像力#  L瓜组兔区鹅的微博视频 ​​​​
https://weibo.com/2658345322/Jr9c2mADx?type=comment#_rnd1604413992494,2020.10.27,巴斯小板,关于谢允为什么不回头：
https://weibo.com/2983578965/JqQaIp8cD?type=comment#_rnd1604414298261,2020.10.25,娱乐圈小青年,#廖启智# TVB老戏骨廖启智居然在街头卖衣服，太心酸了，他为什么不去拍戏呢？
https://weibo.com/6552388987/JqHHjBWlR?type=comment#_rnd1603600091954,2020.10.24,大学生发言bot,#大学四年的真实写照#说说你们上大学后都有哪些变化
https://weibo.com/1686096112/Jqtd90T1M?type=comment,2020.10.23,袋鼠怪蜀黍,师弟是昆明人，他的发小在纽约留学。前几天这位在纽约留学的孩子的爸妈接到中国驻美使领馆的电话并附送一张从昆明赴北京的机票。到了北京，接到的消息是孩子在纽约已经感染新冠病毒去世了，听到了孩子的遗言录音………我很难想象这对中年夫妻所面临的巨大悲痛以及如何用整个下半生来平息这个悲痛。21岁的孩子，就这么没了。那些欢呼群体免疫人以及放任病毒泛滥的政客，都是不折不扣的凶手。可是，我看不到这些凶手会被惩罚的可能性……每每想到这里，就会觉得这个世界好灰暗。
https://weibo.com/5691136260/JqxxlwWTS?type=comment#_rnd1603600002846,2020.10.23,蓝鲸老湿,孙殿英从乾隆头上扯下的辫子，回想当年，一代大帝乾隆爷这辫子是多么的威风凛凛！
https://weibo.com/7007143507/JqbvLltRa?type=comment#_rnd1603600026982,2020.10.21,问号哥哥,"#我和李佳琦的区别#
扎心了老铁"
https://weibo.com/7391925585/Jqf9GedDE?type=comment,2020.10.21,极光Aurora·博肖视频站 ,"20201021 王一博 x CHANEL x ELLE 香奈儿ME-TIME美妆活动
❎1080P无水印，禁二传，产出请注明出处❎
L极光Aurora·博肖视频站的微博视频 ​​​​"
https://weibo.com/6505491356/Jqb7mn0rv?type=comment#_rnd1603600114774,2020.10.21,神奇的哈哈酱,抄袭图片
https://weibo.com/2115260573/Jqgd8h19y?type=comment#_rnd1603812016350,2020.10.21,学习,"哈哈哈哈南方加绒人[doge][doge][doge]
#南方加绒人# ​​​​"
https://weibo.com/2610186355/Jq6IuCVkU?type=comment#_rnd1603599334744,2020.10.20,赵乐呵 ,2020上半年的“两句话恐怖故事”精选 细思极恐！！！看完完鸡皮疙瘩直冒 喜欢的码着慢慢看 ​​​​
https://weibo.com/1860037624/Jq6ZNusI4?type=comment,2020.10.20,PAAA,这个视频好高清[兔子] L -PAAA-的微博视频 ​​​​
https://weibo.com/5705058220/JpXKcs3T5?type=comment#_rnd1603600139634,2020.10.19,名侦探柯南漫迷中心 ,抄袭图片
https://weibo.com/1567270864/JpMUgfOTx?type=comment#_rnd1603599469789,2020.10.18,绿旗的秘密 ,如果是真事，给这位国航空姐点赞 ​​​​
https://weibo.com/2742655797/JpIVkwsGO?type=comment#_rnd1603599746547,2020.10.18,安然且过,怎么这么没自信 ​​​​（光明乳业）
https://weibo.com/1895289983/JpsW1AYpc?type=comment,2020.10.16,铲屎官和主子们 ,啊……这？？？ L铲屎官和主子们的微博视频
https://weibo.com/1738877650/Jor5P6rkZ?type=comment,2020.10.09,数码君,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗，感觉很可怕的样子，伊朗人咋那么淡定呢……[衰] L数码君的微博视频 ​​​​
https://weibo.com/1905538303/Jo8Ap4Yqo?type=comment,2020.10.07,孟彦弘,O中科院报告称政府医疗投入80%为党政干部服务
