time,confirmed,deaths,recovered,existing
1/22/20,548,17,28,503
1/23/20,643,18,30,595
1/24/20,920,26,36,858
1/25/20,1406,42,39,1325
1/26/20,2075,56,49,1970
1/27/20,2877,82,58,2737
1/28/20,5509,131,101,5277
1/29/20,6087,133,120,5834
1/30/20,8141,171,135,7835
1/31/20,9802,213,214,9375
2002/1/20,11891,259,275,11357
2002/2/20,16630,361,463,15806
2002/3/20,19716,425,614,18677
2002/4/20,23707,491,843,22373
2002/5/20,27440,563,1115,25762
2002/6/20,30587,633,1477,28477
2002/7/20,34110,718,1999,31393
2002/8/20,36814,805,2596,33413
2002/9/20,39829,905,3219,35705
2002/10/20,42354,1012,3918,37424
2002/11/20,44386,1112,4636,38638
2002/12/20,44759,1117,5082,38560
2/13/20,59895,1369,6217,52309
2/14/20,66358,1521,7977,56860
2/15/20,68413,1663,9298,57452
2/16/20,70513,1766,10755,57992
2/17/20,72434,1864,12462,58108
2/18/20,74211,2003,14206,58002
2/19/20,74619,2116,15962,56541
2/20/20,75077,2238,18014,54825
2/21/20,75550,2238,18704,54608
2/22/20,77001,2443,22699,51859
2/23/20,77022,2445,23187,51390
2/24/20,77241,2595,25015,49631
2/25/20,77754,2665,27676,47413
2/26/20,78166,2717,30084,45365
2/27/20,78600,2746,32930,42924
2/28/20,78928,2790,36329,39809
2/29/20,79356,2837,39320,37199
2003/1/20,79932,2872,42162,34898
2003/2/20,80136,2914,44854,32368
2003/3/20,80261,2947,47450,29864
2003/4/20,80386,2983,50001,27402
2003/5/20,80537,3015,52292,25230
2003/6/20,80690,3044,53944,23702
2003/7/20,80770,3072,55539,22159
2003/8/20,80823,3100,57388,20335
2003/9/20,80860,3123,58804,18933
2003/10/20,80887,3139,60181,17567
2003/11/20,80921,3161,61644,16116
2003/12/20,80932,3172,62901,14859
3/13/20,80945,3180,64196,13569
3/14/20,80977,3193,65660,12124
3/15/20,81003,3203,67017,10783
3/16/20,81033,3217,67910,9906
3/17/20,81058,3230,68798,9030
3/18/20,81102,3241,69755,8106
3/19/20,81156,3249,70535,7372
3/20/20,81250,3253,71266,6731
3/21/20,81305,3259,71857,6189
3/22/20,81435,3274,72362,5799
3/23/20,81498,3274,72814,5410
3/24/20,81591,3281,73280,5030
3/25/20,81661,3285,73773,4603
3/26/20,81782,3291,74181,4310
3/27/20,81897,3296,74720,3881
3/28/20,81999,3299,75100,3600
3/29/20,82122,3304,75582,3236
3/30/20,82198,3308,75923,2967
3/31/20,82279,3309,76206,2764
2004/1/20,82361,3316,76405,2640
2004/2/20,82432,3322,76565,2545
2004/3/20,82511,3326,76760,2425
2004/4/20,82543,3330,76946,2267
2004/5/20,82602,3333,77207,2062
2004/6/20,82665,3335,77310,2020
2004/7/20,82718,3335,77410,1973
2004/8/20,82809,3337,77567,1905
2004/9/20,82883,3339,77679,1865
2004/10/20,82941,3340,77791,1810
2004/11/20,83014,3343,77877,1794
2004/12/20,83134,3343,77956,1835
4/13/20,83213,3345,78039,1829
4/14/20,83306,3345,78200,1761
4/15/20,83356,3346,78311,1699
4/16/20,83403,3346,78401,1656
4/17/20,83760,4636,77552,1572
4/18/20,83787,4636,77614,1537
4/19/20,83805,4636,77690,1479
4/20/20,83817,4636,77745,1436
4/21/20,83853,4636,77799,1418
4/22/20,83868,4636,77861,1371
4/23/20,83884,4636,77983,1265
4/24/20,83899,4636,78109,1154
4/25/20,83909,4636,78175,1098
4/26/20,83912,4637,78277,998
4/27/20,83918,4637,78374,907
4/28/20,83940,4637,78422,881
4/29/20,83944,4637,78474,833
