id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"4477298525176167","4477298525176167",1646068663,null,1582954615,1203,2935,386,"新冠疫情以来，几位院士丑态百出：有的谎话连篇，有的如门外汉，有的客串公关念错稿子，感觉院士名额就是各种既利集团分猪肉一样得来的。屠呦呦先生拿过诺贝尔医学奖，虽说科研经费分配可能吃亏，但晚节比头衔更重要，不要也罢！ ​​​","新冠疫情以来，几位院士丑态百出：有的谎话连篇，有的如门外汉，有的客串公关念错稿子，感觉院士名额就是各种既利集团分猪肉一样得来的。屠呦呦先生拿过诺贝尔医学奖，虽说科研经费分配可能吃亏，但晚节比头衔更重要，不要也罢！ ​​​",1252487525,2060076,1642,27,22284,1753,"罗昌平","罗昌平","助理微信：13677391968","m","11","1000",true,"财经媒体人，著有《递罪》《打铁记》",0,"北京","https://tvax3.sinaimg.cn/crop.0.9.750.750.180/621d03b7ly8fjmfyottkrj20ku0ld3zs.jpg?KID=imgbed,tva&Expires=1585378644&ssig=gsk8gBz3k7",false,"https://wx4.sinaimg.cn/large/621d03b7gy1gcd7lqz9g0j20u01adahj.jpg",null
"4477298751268706","4477298751268706",5292718452,"4477298525176167",1582954668,0,0,0,"转发微博","转发微博",1410622059,17,0,0,994,43,"空梦人生2012","空梦人生2012","","m","46","1",false,"",-1,"海南 海口","https://tva3.sinaimg.cn/crop.0.0.180.180.180/005MbHQEjw8ekb9mmipwxj30500500so.jpg?KID=imgbed,tva&Expires=1585378673&ssig=bab00Fsnqz",true,null,null
"4477298751022645","4477298751022645",1751555532,"4477298525176167",1582954669,0,0,0,"轉發微博","轉發微博",1275822148,197,84,4,3717,416,"梁茶她爸","梁茶她爸","點解要簡介？","m","400","2",false,"",-1,"海外 英国","https://tvax1.sinaimg.cn/crop.0.0.1125.1125.180/68669dccly8fu6n3iig68j20v90v9wje.jpg?KID=imgbed,tva&Expires=1585378673&ssig=ssEw%2Bc3Qi4",true,null,null
"4477298826530868","4477298826530868",2083572551,"4477298525176167",1582954687,0,0,0,"轉發微博","轉發微博",1302604243,955,1,15,12702,436,"长安入梦来","长安入梦来","我回不去了 那岛屿  从我们坐船离开 以后 ..","m","11","1000",false,"",-1,"北京","https://tvax2.sinaimg.cn/crop.0.0.1242.1242.180/7c30cb47ly8fqi4be6mxnj20yi0yijvt.jpg?KID=imgbed,tva&Expires=1585378673&ssig=upTpaNTXcn",false,null,null
"4477298889997446","4477298889997446",5834614863,"4477298525176167",1582954702,0,0,0,"转发微博","转发微博",1453369515,119,0,5,175,49,"一横一竖口","一横一竖口","","m","14","1000",false,"",-1,"山西","https://tvax4.sinaimg.cn/crop.0.0.996.996.180/006mRrRlly8gbuh7zoyqtj30ro0rogne.jpg?KID=imgbed,tva&Expires=1585378667&ssig=Q7vMX4magr",true,null,null
"4477298902253857","4477298902253857",1366512414,"4477298525176167",1582954705,1,0,0,"转发微博","转发微博",1252064017,5534,2016,1223,19082,2089,"香怜W","香怜W","野蛮女人，水性浪花。敝博虽小，穷骨头还是有两根的。一个卑微的改革派。一个薄情的世界里深情活着的小女人。","f","37","1",false,"",-1,"山东 济南","https://tva2.sinaimg.cn/crop.0.0.180.180.180/5173531ejw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1585378667&ssig=R7r3vvs5QU",false,null,null
"4477298936031519","4477298936031519",2207043487,"4477298525176167",1582954712,1,0,0,"转发微博","转发微博",1309322806,463,266,239,4231,380,"四川作家王锐","四川作家王锐","","m","100","1000",false,"",-1,"其他","https://tva2.sinaimg.cn/crop.0.0.180.180.180/838ccf9fjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1585378667&ssig=VmpWCTXNSc",true,null,null
"4477298998306155","4477298998306155",6455265385,"4477298525176167",1582954728,0,0,0,"转发微博","转发微博",1515399640,464,79,5,2821,259,"小二和猫仔","小二和猫仔","唱歌🎤","m","50","1000",false,"",-1,"重庆","https://tvax2.sinaimg.cn/crop.0.0.996.996.180/0072RDpDly8gcvrgnsds6j30ro0roq4m.jpg?KID=imgbed,tva&Expires=1585378667&ssig=WTxeb2CKMP",true,null,null
"4477299006929277","4477299006929277",6994306640,"4477298525176167",1582954730,0,0,0,"转发微博","转发微博",1550051074,40,0,0,3582,50,"天品好茶","天品好茶","","m","44","3",false,"",-1,"广东 深圳","https://tvax4.sinaimg.cn/crop.0.0.1002.1002.180/007DloFqly8g8u5meou6qj30ru0rujvb.jpg?KID=imgbed,tva&Expires=1585378667&ssig=Q3Ro%2FmRekx",true,null,null
"4477299095487212","4477299095487212",2288335970,"4477298525176167",1582954751,0,0,0,"转发微博","转发微博",1312523889,101,6,375,1652,575,"泰戈2019","泰戈2019","","m","31","9",false,"",-1,"上海 虹口区","https://tvax2.sinaimg.cn/crop.0.0.896.896.180/88653c62ly8g0pq7t5vg9j20ow0owaem.jpg?KID=imgbed,tva&Expires=1585378667&ssig=bqhtr8jz4W",false,null,null
