user_id,net_id,lever_num,degree,Authenticity
4465002524434627.0,98,0,325,real
4465004969635708.0,98,1,17,real
4465005216497306.0,98,2,1,real
4465006139472292.0,98,1,1,real
4465006210474242.0,98,1,1,real
4465006639081856.0,98,2,1,real
4465007280653990.0,98,2,2,real
4465008417042364.0,98,1,1,real
4465008556089972.0,98,1,1,real
4465008992054725.0,98,2,1,real
4465009147443055.0,98,1,1,real
4465009180188710.0,98,2,21,real
4465009273207351.0,98,2,1,real
4465009348712352.0,98,3,1,real
4465009553763581.0,98,3,2,real
4465009612398985.0,98,1,15,real
4465009701010604.0,98,3,1,real
4465010304096337.0,98,1,1,real
4465010753373737.0,98,4,1,real
4465011005519302.0,98,1,1,real
4465011080312634.0,98,1,1,real
4465011080066235.0,98,2,1,real
4465011117935464.0,98,1,1,real
4465011210499026.0,98,1,1,real
4465011243890828.0,98,1,1,real
4465011310921213.0,98,3,1,real
4465011630190403.0,98,2,1,real
4465011931783524.0,98,1,1,real
4465012342938230.0,98,3,1,real
4465012443374896.0,98,1,1,real
4465012778846867.0,98,3,1,real
4465012984788497.0,98,1,1,real
4465012997126479.0,98,3,1,real
4465013467286416.0,98,1,1,real
4465013798406880.0,98,1,1,real
4465013936702525.0,98,1,1,real
4465014293550593.0,98,1,1,real
4465014646109763.0,98,2,1,real
4465015162009520.0,98,1,1,real
4465015354297623.0,98,2,1,real
4465015458934240.0,98,1,4,real
4465015573156852.0,98,1,1,real
4465015707080702.0,98,3,1,real
4465015757547255.0,98,2,39,real
4465015765242043.0,98,1,1,real
4465015904310355.0,98,3,1,real
4465015912008134.0,98,3,1,real
4465016017653210.0,98,2,1,real
4465016147311183.0,98,1,1,real
4465016302508755.0,98,3,9,real
4465016352607211.0,98,3,1,real
4465016448772446.0,98,3,3,real
4465016608694020.0,98,1,1,real
4465016650203904.0,98,1,1,real
4465016680221254.0,98,4,1,real
4465016818604990.0,98,3,1,real
4465016961185813.0,98,1,1,real
4465017015634462.0,98,1,1,real
4465017128685944.0,98,2,2,real
4465017145819599.0,98,4,1,real
4465017166855392.0,98,3,1,real
4465017267342362.0,98,3,1,real
4465017401730920.0,98,4,4,real
4465017448014771.0,98,3,1,real
4465017640102704.0,98,5,2,real
4465018026761908.0,98,1,1,real
4465018089398319.0,98,3,1,real
4465018098041711.0,98,1,1,real
4465018186142824.0,98,3,1,real
4465018186141564.0,98,3,1,real
4465018378185816.0,98,1,1,real
4465018382389243.0,98,3,2,real
4465018433633166.0,98,4,21,real
4465018462630400.0,98,1,1,real
4465018487876889.0,98,1,1,real
4465018516757319.0,98,1,1,real
4465018521180382.0,98,1,1,real
4465018537531964.0,98,1,1,real
4465018550914299.0,98,5,1,real
4465018554350891.0,98,3,1,real
4465018566976041.0,98,1,1,real
4465018777185235.0,98,5,1,real
4465018877660708.0,98,5,1,real
4465018920183143.0,98,5,1,real
4465018945171996.0,98,3,1,real
4465018957327269.0,98,5,1,real
4465018986776663.0,98,1,1,real
4465018995192619.0,98,1,1,real
4465019050103761.0,98,5,1,real
4465019112279497.0,98,3,1,real
4465019171446113.0,98,1,1,real
4465019188441230.0,98,5,1,real
4465019499020074.0,98,1,1,real
4465019666442082.0,98,6,3,real
4465019825980140.0,98,7,3,real
4465020114997776.0,98,8,1,real
4465020287135682.0,98,1,1,real
4465020286542869.0,98,1,1,real
4465020286554959.0,98,1,1,real
4465020316004947.0,98,1,1,real
4465020475344619.0,98,1,1,real
4465020618501314.0,98,5,2,real
4465020622712222.0,98,1,1,real
4465020668746332.0,98,5,5,real
4465020676730286.0,98,3,1,real
4465020689457187.0,98,1,1,real
4465020701968406.0,98,6,1,real
4465020723604474.0,98,6,1,real
4465020790034080.0,98,3,1,real
4465020853414242.0,98,6,1,real
4465020978919045.0,98,3,1,real
4465021012205357.0,98,4,1,real
4465021017152897.0,98,5,1,real
4465021192566212.0,98,2,1,real
4465021252048234.0,98,3,1,real
4465021436705433.0,98,1,2,real
4465021486591736.0,98,1,2,real
4465021637787077.0,98,4,1,real
4465021649745353.0,98,3,1,real
4465021801080078.0,98,1,1,real
4465021851302089.0,98,2,1,real
4465022015146197.0,98,5,1,real
4465022069133120.0,98,2,1,real
4465022170225347.0,98,2,1,real
4465022228846880.0,98,5,1,real
4465022271022585.0,98,4,1,real
4465022321115885.0,98,1,2,real
4465022447637782.0,98,3,1,real
4465022623787119.0,98,2,1,real
4465022765658749.0,98,5,1,real
4465022950208042.0,98,2,2,real
4465022950880978.0,98,1,1,real
4465023105636783.0,98,2,1,real
4465023214772656.0,98,1,1,real
4465023366159736.0,98,6,1,real
4465023369944245.0,98,3,1,real
4465023487489681.0,98,1,1,real
4465023595895631.0,98,3,1,real
4465023684343031.0,98,1,1,real
4465023781363521.0,98,1,1,real
4465023835102941.0,98,3,1,real
4465023890088583.0,98,3,1,real
4465023906482774.0,98,1,1,real
4465024153704294.0,98,1,1,real
4465024192039835.0,98,3,1,real
4465024351319003.0,98,1,17,real
4465024447796037.0,98,1,1,real
4465024476787734.0,98,2,1,real
4465024514647580.0,98,2,1,real
4465024762443498.0,98,1,1,real
4465024834203709.0,98,2,1,real
4465024913394886.0,98,2,1,real
4465024951509714.0,98,1,1,real
4465024988791029.0,98,8,1,real
4465024989371886.0,98,1,1,real
4465025202766860.0,98,2,1,real
4465025232542656.0,98,2,2,real
4465025227531352.0,98,2,1,real
4465025366871564.0,98,1,1,real
4465025416952652.0,98,3,1,real
4465025421281087.0,98,1,6,real
4465025505019228.0,98,3,1,real
4465025680498924.0,98,1,1,real
4465025706153300.0,98,1,1,real
4465025722556784.0,98,1,1,real
4465025769010022.0,98,1,1,real
4465025777746594.0,98,2,1,real
4465025819486469.0,98,1,1,real
4465025852857899.0,98,1,1,real
4465025865512220.0,98,2,1,real
4465025894488209.0,98,1,1,real
4465025915680545.0,98,1,18,real
4465025919725335.0,98,3,32,real
4465025974634305.0,98,2,1,real
4465026000190752.0,98,2,1,real
4465026054610241.0,98,1,1,real
4465026415077150.0,98,4,2,real
4465026477652992.0,98,1,1,real
4465026511822346.0,98,1,1,real
4465026520237869.0,98,3,1,real
4465026645923338.0,98,1,1,real
