id,产品
1,AEGIS
2,THAAD
3,GMD
4,PAC-3 MSE
5,LRSO
6,GBSD
7,Columbia-class submarine
8,B-21
9,LGM-30
10,UGM-133
11,B-61
12,AARGM-ER
13,ADM-160-A MALD
14,ADM-160-B MALD
15,AGM-114
16,AGM-154
17,AGM-158 JASSM 
18,AGM-179 
19,AGM-88
20,AIM-120 AMRAAM
21,AIM-9X
22,FIM-92
23,GBU-24 Paveway III
24,GBU-39
25,GBU-53/B（SDB-II）
26,GMLRS 
27,M1156
28,M982
29,MGM-140 
30,Raytheon Coyote
31,RIM-161
32,RIM-162
33,RIM-174 Standard Missile-6
35,RIM-66 SM-2 MR
36,SeaRAM
37,StormBreaker
38,TOW BGM-71
39,PAC-3 MSE
40,Peregrine Air-to-Air Missile
41,Paragon
42,DARDO
43,VLWT
44,APS
45,MLRS（M270）
46,Hatchet
47,Hypersonic weapon
48,HIMARS M142
49,NSM
51,JSM
52,JDAM
53,PRSM
54,Sentinel A4
55,DMLGB（Paveway II Laser guided bomb）
56,Hard target hollow sensing fuze
57,AGM-158C LRASM
58,Tomahawk Cruise Missile V
59,Direct Attack Guided Rocket DAGR
60,3DELRR
61,ACS
62,ALQ-239
63,ALTESSE-H
64,AN / MPQ-64
65,AN / TPY-2
66,AN/AAQ-24(V)
67,AN/ALM-288
68,AN/ALQ-131(V)
69,AN/ALQ-248
70,AN/APG-77
71,AN/APG-81
72,AN/APG-83
73,AN/APR-39
74,AN/APR-48B
75,AN/APR-52
76,AN/APY-10
77,AN/APY-12
78,AN/APY-9
79,AN/ASQ-236 
80,AN/ASQ-239
81,AN/BLQ-10(V)
82,AN/FPQ-16
83,AN/FPS-108
84,AN/FPS-115
85,AN/FPS-117
86,AN/FPS-132
87,AN/FPS-85
88,AN/MPQ-64A4
89,AN/SLQ-32
90,AN/SLQ-32
91,AN/SPY-1
92,AN/SPY-6
93,AN/SPY-6(V)1
94,AN/SPY-6(V)2
95,AN/SPY-6(V)3
96,AN/SPY-6(V)4
97,AN/SPY-7(V)1
98,AN/TPQ-53
99,AN/TPS-77
100,AN/TPS-78
101,AN/TPS-80
102,AN/TPY-2
103,AN/ZPY-1
104,AN/ZPY-2
105,AN/ZPY-2
106,Anti electronic high power microwave advanced missile project
107,APG-83
108,ARC
109,ATHENA
110,BMEWS 
111,Boeing YAL-1 Airborne Laser
112,CATS
113,CIRCM
114,DSP
115,E-2D advanced eagle eye
116,EA-18G
117,ECLIPSE
118,EMALS
119,FlexDAR
120,GSTAR
121,HE
122,HELIOS
123,HELLADS
124,HELWS
125,HF COMINT/D
126,IFPC-HE
127,JLENS
128,KRFS
129,KuRFS
130,LEONIDIS
131,LONGBOW
132,LTAMDS
133,LWS
134,LWSD
135,MEERKAT-S
136,MH-60R
137,MORFIUS
138,NEWOS
139,OT-225
140,Phase shifter high power microwave system
141,RESM
142,SBIRS
143,SBIRS
144,SBX
145,Self protection high energy laser demonstrator system
146,SEWIP
147,Space fence
148,SPS-TA
149,Storm-H 
150,STSS
151,Symphony
152,TEWS
153,THOR
154,TPY-X
155,Watch out for Eagles
